Report Type,Id,Class,Submitted Date,Headline,Year,Season,Month,State,County,Location Details,Nearest Town,Nearest Road,Observed,Also Noticed,Other Witnesses,Other Stories,Time And Conditions,Environment,Follow-Up,Follow-Up Report,Date,Author,Media Source,Source Url,Media Issue,Observed,A & G References
Report,35984,Class B,"Wednesday, July 11, 2012.",Possible activity at a rural home recently vacant west of Wichita,2012,Spring,,Kansas,Kingman,Please do not post for public view.,,,"While working in the crawl space under a house, I noticed movement outside 2-3 times.",See above.,I am the only witness.,No.,See above.  Many separate instances and conditions.,"The terrain is wooded with  a creek, fresh running water, and loads of wildlife.",Follow-up investigation report by BFRO Investigator Carter Buschardt,"I spoke to this witness for over an hour and a half on the phone. He was entirely lucid, frank, and exact in his descriptions and recollections of events. He invited me to his property for an on-site investigation. I went to the witness' location, located 200 miles or so from my home in Kansas City. The witness purchased the property from his brother-in-law as a place for his upcoming retirement. The home was occupied by the brother-in-law's family while they built their new home next door to this home about a quarter mile away. The home had been vacant for about 2-3 years after his brother-in-law moved. Witness describes numerous events after moving in, objects thrown at the house, screams and howls, footsteps and other sounds of movement at or near the home, etc.  I observed the location under the home where he had the sighting of a lower leg. He also showed me, in the home, where he was standing when he heard something yell just outside his large window, which is on the south side of the home. He heard the scream, went to the window to see what it was, and when he came into view he heard something take off. It covered 20 yards in no more than 3-4 steps, and disappeared into the woods behind his home.The stick structures were marginal. There had been some storm damage, trees uprooted and then dropped back down.  I found a couple of woven structures that could not have happened naturally, but because of the damage and lack of clarity I will not be elaborating on them in this report. The witness had mixed feelings about the activity. Part of him wants the creatures gone because he is unsure of their motives. He has felt threatened by the activity, and was concerned that he would be attacked or harmed in the effort to run him off.  I suggested to him that he needs to reclaim the property, and by just being there on a regular basis should do it. I also suggested that he purchase outdoor motion lights, which he did and thanked me.",,,,,,,
Report,38143,Class B,"Monday, December 10, 2012.","Couple driving at night see a tall, greyish white figure running near Murdock",2004,Spring,April,Kansas,Kingman,Highway 54,Murdock,Highway 54,Back in 2004 my boyfriend and I were driving around at night. We were near Murdock Kansas on a dirt road when we seen something running up along the fence line. It was grayish white and about 8 ft tall. I turned the car around to see if it was still there and it was gone. I have always joked that it was bigfoot never knowing that there had been sightings in Kansas.,,1 witness,not to my knowledge,11pm,just a field,Follow-up investigation report by BFRO Investigator Carter Buschardt,"Spoke with witness via phone. This creature was greyish white at between 7-8 ft. tall. She estimated the weight to be between 300-350 lbs. Physical description was based on her husband and son, who are 6-2 and 6-4 respectively. This creature dwarfed them in height and weight. Gender was not noted. She came around a curve and the creature was on her side, running parallel with the road. The creature was not more than 15-20 feet from her window. The moon was full and the area was well lit by the moon, though it was a dark country road otherwise. She asked her boyfriend (now husband) what it was and he said he had no idea. She turned the car around and went back and it was gone. Entire sighting lasted 10-12 seconds. There was a fence line along where it was running so it would have had to hop the fence. She had told several people and they all thought she was crazy. She is steadfast in her belief as to what she saw. This creature bears an eerie resemblance to the creature in my published report #35828, and the locations are within 20-25 miles of one another. And there is another report out of the same area, report #35984. Though the date of her sighting is 8 years previous to #35828, the odds of a similar creature (grey and white) running around are pretty high against there being 2 creatures of similar coloring. On Dec. 25th, 2012, witness emailed me and added that there were also big rounded hay bales along the road/fence line, and that they were over 6 ft. tall. This helped her determine the height of the creature as well as the height of boyfriend and son.",,,,,,,
Report,739,Class B,"Saturday, November 18, 2000.",Three youths find footprints while walking along riverbank,2000,Fall,October,Kansas,Kingman,"Location is near a set of railroad tracks, that is near the South Fork Ninnescah River west of town.","Kingman, Kansas",Hillside Street and A Avenue,"One Saturday evening at about 6:30 PM in October, a friend and I where walking along the Ninascah river and saw eight to ten very large foot prints in the sand. The prints where eleven to fourteen inches long and about six inches wide in the largest spot. Right away I knew that the tracks where not human, they had to belong to bigfoot. The prints had five toe marks at the end. They were about 1/2 a mile from the rocky dam under a bridge. The tracks led to the water, and could not be followed.",Nothing to report.,There was two other witnesses other than myself; my little brother and his friend.  They where walking down the river banks prior to the sighting.,There hasn't been any other sightings that I know of.,The sighting was on a fall evening about 6:30 pm.,The location was on a sand bar in the river bottom under a bridge.,Follow-up investigation report,"I followed up with the witness and during our conversation they added that the sand in which the footprints were found was dry, loose, and fine grained.  The witness also stated that they frequent the area often and if more footprints were found, he would gladly contact the BFRO again.",14,,,,,,
Report,1312,Class A,"Thursday, May 28, 1998."," Chief of police in Chetopa finds two and a half miles of tracks that measured 17 inches in length, 5 5/8 in width. Thousands of curious people came out to look at the tracks. The incident was reported on the local TV news",1978,Winter,February,Kansas,Labette,,Chetopa,,"Chetopa, Kansas Chief of police measures footprints. (239K)",,,,,,,,23,,,,,,
Report,7558,Class B,"Sunday, December 14, 2003.",Military police find tracks at Ft.Leavenworth,1976,Winter,,Kansas,Leavenworth,The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,Leavenworth / Kansas City,,"I was stationed at Ft. Leavenworth in 1976, I was assigned to the 205th Military Police Unit. One of our duties was to guard the CAC building at the fort. This is the most important building on base. It is what we called the Comand Staff War School. It was guarded 24/7 everyone in had to sign in and out. NO EXCEPTIONS this was a very serious detail. Personally I hated it. I found myself on duty at the CAC with another MP we called JJ he told me about how an MP Officer had seen some big hairy thing along the river banks just a few days earlier, The officer was scared spitless according to JJ's story. He went on to say that this thing had been seen several times over the last few years and it's got everybody pretty spooked. The Officer in Question made a formal report about his experiance. His career was over shortly after that, The military keeps records on everthing including this one. The river runs along the entire east side of this installation and it is really thick flooded timber and lowlands. You could hide a herd of elephants in there for years and no one would ever know. I never saw this thing but we did see foot prints one evening down along the river. I was impressed with the size of these things, They were 14-16 long but it was the width that was really shocking, 6-7in. wide. It was almost like a snow shoe at the ball of the foot, It was in fresh snow and back in the heavy stuff where no one would have gone to play games. We were sent there to search for a runaway dependent. (Some Officers daughter that had gone to Kansas City with her boy friend as it turned out.) Like I said these prints were big. It was never officially reported because of the recent short term career matter mentioned earlier. If you see one of these things and report it you are history, Period. Check it out you will find several old by now I'm sure reports of strange beings around Ft.Leavenworth. Good luck in finding this thing, It does exist. NO DOUBT!",Several other MP's reported loud banging on doors and trash dumpsters @ the CAC building like some one was looking for food in the dumpsters and letting the tops slam down. I can tell you that very few of us ever went to see what it was even though we were armed with 45's. We felt that it was best left alone. One time JJ heard a low growling gurgling sound while on patrol outside of the CAC he was scared and ran like the wind into the foyer where I was at the duty desk. This was at 9-10 pm.,"During the search for the dependant there were several. No one was willing to offically discuss the foot prints. The sighting involved the Officer and One enlisted man, Name unknown but on the report.",No,My experiance was in the late afternoon early evening. The Officer in Question was during the Early Evening hours.,"Heavily wooded area, river bottom area that extends well over a mile from the actual river. Lots of bluffs and limestone cliffs etc. Very rugged area, Thick vegitation little or no human activity in the refuge area, Bird Hunters and deer hunters seldom went more than 100 yards from the road due to the thickness of the area",Follow-up investigation report by BFRO Investigator Stan Courtney,I spoke with the witness by phone.He and another MP followed the tracks a short distance but started smelling a stench described as being fresh garbage. It was decided to not pursue it any further. The witness had more or less forgotten about the incident until watching an episode of Mysterious Encounters on the OLN.,January,,,,,,
Report,44721,Class A,"Sunday, March 30, 2014.",Motorist nearly collides with a large white animal at night near McPherson,2014,Spring,March,Kansas,McPherson,after the s curve and before Dutch Ave intersection,McPherson,K-61,"On 3/29/2014 at approximately 9:42 pm (I know this because of cell phone records) my daughter and her friend and I were coming back from a trip to Manhattan, KS on Burmac Road between McPherson and Burrton, KS after the S curve in the road.  I remember seeing the lights of a home in the distance and out of the corner of my eye I saw something white.  When I turned my head the large white animal was running at a high rate of speed towards my car.  It looked like he was going to hit the passenger side of the car.  This animal was gigantic, when it ran into the ditch it still looked taller than my car which is a 2009 Dodge Caliber.  It looked like this white animal was flying through the air at a high rate of speed.  When it hit the ditch we got a great look at the face and the features and its size.  It was really fuzzy, especially in the face and it had dark sunken eyes and a mouth that was not visible and the nose was not distinct.  The most memorable feature was the eyes....they were very black. It was on two legs but when it approached the ditch it used its front hands/paws for leverage.  It seemed extremely muscular and fit. When I first saw it, my daughter and I were talking, she had just said, omg my phone just died....I saw a flash of light and looked and said what the heck is that........?  My daughter said I don't know and she started screaming.  At this point she said she saw three images the first sighting for her he was on all 4 appendages the second time he was on two legs and the last time he was at the window.  We all agree that there was a ton of fur...!  When I thought it was going to hit the car I grabbed the steering wheel and jerked to the left.  The fur was about six plus inches long and had a weird pattern, I only say this because I am a cosmotoligist and hair growth pattern matters.  When I jerked the steering wheel to the left I almost went in the ditch on the left side.  I looked back but it was gone.........nothing was in my rear view mirror.  I instantly called my ex husband and left a voice mail and that was at 9:42pm he called back at 9:45pm and then told him that what we had witnessed 20 years ago I had just seen again only bigger and without the teeth!  He said I was freaking out and he was right!",There was no sound only the wind.,"2 others, my 17 year old daughter and her best friend who is 16",Yes........20 years ago my ex husband and I saw something similar and lots smaller between Dodge City and Pratt Kansas.,At 9:42pm I called my ex husband and left a message that I had just seen the same creature that we saw 20 years ago.........call me now !,After the S curve and before the farm house on the left about 3-5 miles before Dutch Ave.,Follow-up investigation report by BFRO Investigator Carter Buschardt,"I had two lengthy conversations with the witness and obtained the following, additional information. As they were heading north towards home, the creature ran from right to left. There was a farmer tilling his land at night and there was a large fire burning in the tree line. This was not a controlled burn, but a wildfire, as we were in a burn ban warning in Missouri and Kansas due to the bone dry & windy conditions. She felt the creature was fleeing the fire. She saw the fire on the right side of the road, then turned her head back to focus on the road, and then suddenly the creature was upon her. Her daughter screamed first, then she saw it an instant later. She caught a ""white blur"" out of the corner of her eye, and as the creature approached the right side of her car, she swerved to the left, knowing she was going to hit it, (or it hit her). She saw the head, mostly side profile, through the front passenger door window. The head ""filled up the entire window....huge....huge"".  She noticed the white coloring, and described the hair as "" spiked, punkish, teased, or sticking up like it had been gelled"". She is a cosmotologist by trade and notices everyone's hair by habit. Eyes were huge and very black against the white hair. By her estimate the creature was at least 8 ft tall at a minimum. As it was running towards the car (crossing the road), it was on all fours, then stood up as it (braced for the impact with the car ?), then went back to all fours as it hit the ditch on the drivers side of the car and went up the incline and disappeared. She, and the girls knew it was going to impact with the car, and just didn't. Regarding the sighting mentioned that she had twenty years prior. She said the creature was in a ditch by the road next to a dead deer (road kill?).  It had blood all over its mouth, face and chest. It never stood up, just looked up, and then resumed eating. This one was also white, but smaller.  They kept driving. No report was filed on this earlier sighting.",29,,,,,,
Report,1314,Class A,"Thursday, October 15, 1998.","Large, dark figure seen standing down by the mailbox. ",1991,Fall,October,Kansas,Miami,"Paola, Kansas","Louisburg ,Kansas",US-69,"It was in the Fall of 1991 and my sister Patty and I were watching Saturday Night Live.  I've always believed in the evidence of the Fouke Monster and have seen ""The Legend of Boggey Creek"" several times through my life.  I am the LAST person who would want to see a real-life Bigfoot.  Anyway, we were watching television and our dog Sandy began to bark a whole bunch.  There weren't many cars that went down our road that late in the evening (around 1 a.m.) and both Patty and I began to wonder what was going on.  We opened the door and both saw a large and dark figure standing down by the mailbox (around 1/4 of a mile from the house) and we both kind of freaked.  It was humped over and I began to instantly think of Boggey Creek and Travis Crabtree's story.  We went to our parents' room and woke them to see if they had a flashlight.  When we finally did find one ""it"" was gone.  I didn't sleep very well for a few night in fear that","Our dogs bark a lot sometimes yet, we can't for the life of us figure out why.  I am sending this e-mail from Las Vegas (I now live with Patty's family).",We were in the house watching television.  Very,,It occurred around 1 a.m. in the morning,,,,,,,,,,
Report,63795,Class A,"Monday, December 16, 2019.",Motorist sighting on Hwy 169 between Paola and Osawatomie,1994,Winter,November,Kansas,Miami,Near intersecting property fences. Country. Not far from the sanitation department and the old Ron Olsen's car dealership.,Paola,169 Hwy,I was headed home from work at around 11pm or later. I remember it was a bit on the cool side. I believe it was late fall or early winter. I was not far from the old sanitation department off the highway when I caught with my headlights a large upright creature that straddled the fence without missing a beat.,"What is unusual is its light color, its speed, it being upright and generally nothing scares me. This scared me to death. Thank goodness it was running the opposite direction as my home.",Just me.,There were some who reported bear sightings that was never proven.,,,Follow-up investigation report by BFRO Investigator Carter Buschardt,"I had a nice phone conversation with the witness. This area is quite close to me actually. I am quite familiar with the area. Mixed rural Kansas farmland with fairly flat landscapes. Lots of creeks, rivers and some marshlands. She was about 17-18 in 1994 when the sighting happened. She was driving home as stated about 11-11:15pm south on Hwy 169 from Paola towards Osowatomie KS. The old sanitation plant was more towards Osowatomie and the highway is 2 lanes each direction. The exact intersection was Cedar Niles Rd & 169 Highway. As she was going south, it ran across the road from east to west. It was already moving when she saw it, and she had slowed down just a bit because of a slight curve in the road. It was walking in a hurried fashion but not running. It never looked her way. It just walked over the fence in stride, never missing a beat. The fences around here, barbed wire, are a pretty much standard 4 ft. in height. The creature was nearly twice that height, so 7.5 to 8 ft. She did not recall any specific physical traits other than it was very tall, very fast and walking in a nearly total upright position. It was not bent or hunched over. It all happened within a 3-5 second span.She grew up on a farm and is familiar with the usual and customary wildlife. She knew what it wasnt, a bear or anything else in the Kansas family tree of animals. She decided to report it after her fear of potential ridicule subsided and she wanted to tell her story. She is a good solid witness and is now quite intrigued as to the makeup of these creatures. I assured her that there is a lot more activity in Kansas than one would imagine and she will be paying a bit more attention during her hikes in the woods.----------------------------------------------------------------------Supplemental note from Matt Moneymaker:Why would a bigfoot be in this area at this time?  This question can be asked of so many sightings, especially in the midwest in areas where there's no large tracts of forest or swamps around.  The answer is deer -- the staple protein sources of bigfoots. There are lots of deer in Kansas. Deer cross highways. Predators will follow them. ",4,,,,,,
Report,59633,Class A,"Sunday, June 24, 2018.",Two motorists (female) report road crossing Sasquatch on Interstate 24 among cornfields right outside Cawker City famously known for the 'The World's Largest Ball of Twine',2017,Summer,August,Kansas,Mitchell,there were two large long corn fields and a small lake was close. i forgot the sign after we got past the ball of twine.,"the one with the big ball of twine [Cawker, Kansas]",highway [24 &9 ],"I was going to Concordia, Kansas with my sister and her husband on August 31, 2017. We were on Hwy [24 & 9] going eastbound. I did not get the mile marker. I wasn't thinking about it.","Quiet, no crickets.",me and my sister my brother in law was asleep.,Nope,9:35 pm,"just the rtwo lane road and the two opposite corn fields, I could see a little because of the light of the moon.",Follow-up investigation report by BFRO Investigator Carter Buschardt,"Regarding the correction of some of the location info provided in the original submission: The highway they were driving along is both Interstate 24 and State Route 9 (not Highway 19, as stated in the original submission). Interstate 24 splits from State Route 9 after you pass through Cawker City headed eastward. They were headed east towards Concordia KS around 9:30 - 10pm on a moonlit Summer's night. I spoke with the witness by phone, a 59 year-old woman with a photographic memory. Her recollection of the event was actually quite remarkable. I will add extra details. The Sasquatch emerged from the cornfield on her right about 100 feet ahead of the truck. They had slowed down a bit before that point when they spotted deer out near the highway. There was also a pickup truck with four guys in it that was ""kinda doing crazy stuff"" on the highway and they wanted to be safe. She saw the Sasquatch at first standing in the corn on the right side, then it jumped out of the cornfield and landed in a ""squatted position"", like it was going to jump again, like a sprinter. I jump again and crossed to the opposite side just as the truck came up on it.She guesses had 10-15 second view of the creature. It wasn't much more than a lane's width away when they passed it. It looked right in the truck window. They were driving a Chevy S-10. There was a slight ditch on the side of the highway, between the cornfield and highway. That's where it landed.Physical characteristics of the ""gorilla man"":  > 9-10 ft tall at least. > It was a male without a shadow of a doubt -- she saw genitals. > The hair around the head was ""like a lions mane."" > The color of the hair on the head was darker brown with ""auburn     tips"". > It seemed to have a brow ridge that ""stuck out"". > The skin was a darker grey than the fur. > Slightly conical head that just sat on the shoulders. > It turned its whole body to look at them. > The eyes were 2-3 times human size, they had wrinkles under    them. > The eyes ""sorta glowed like a cats eyes do when hit by light"" but,    not real bright. There was a slight greenish glow. > There was no sound from the creature at any time.> The nose was mostly flat, ""like a Hawaiian or pacific islanders"". > His ears were ""sorta twisted looking, not flat like ours"". > He was ripped like a body builder with a tapered waist and he    ""was just all buffed out"". > The moon was out and between the moon and the ambient light    of the truck, she had an excellent, slow motion view.  We ""just    stared at each other"" as they slowly drove by. > The hair was generally about 3 inches long on most of the body,     but along the bottom of the arms to the elbow it was longer,     perhaps up to 5-6 inches at the elbow. > There were small areas where she saw no hair at all, just bare     skin.It jumped across the road in front of the truck, stood up then disappeared into the cornfield on the other side of the highway.As she stated, she told her sister not to stop, because she didn't know what it was going to do. Two women with brother in law passed (asleep) out in the back seat. She says he was a beautiful, finely built creature and she wanted to leave him be. She was so happy to have been able to see one. ____________________________________________________[Matt Moneymaker notes:The specific area of this sighting was most likely close to the North boundary of Glen Elder State Park between ""the ball of twine"" in Cawker City and the tiny town of Glen Elder. The likely crossing zone is more than a mile from the marina & campground. There are no roads or trails connecting the crossing area to the marina & campground. It was not a nine-foot-tall, super buff camper in a costume. It was a Sasquatch in pursuit of deer. The sighting was close to the Missouri-Pacific railroad bed. In the Midwest especially there is a strong correlation between Sasquatch sighting areas and long landmarks such as railroad beds, power line cuts, gas pipeline routes, etc., just as often as rivers and major creeks, as if these creatures follow those landmarks for long distances (as deer do) to get to places where they feed. Like bears they will feed on any high calorie forage they can gather. Opportunistically, they'll prey on small mammals, reptiles and amphibians they can catch, but there is one prey species and prey supply that has the most influence over where they will go, especially in this part of the country: white tailed deer.In every direction, and as far as the eye can see from this highway in August there is the favorite food of white tailed deer -- corn.  There's corn all over the place but this area has the added layer of a river confluence (N & S Forks of the Solomon River)  at the top end of Waconda Lake.   Deer following those two rivers would merge around there and create a relative glut of deer in the cornfields around Waconda Lake. There are strips of woods along the Solomon River but the landscape doesn't provide enough cover for Sasquatches until the corn is high enough to conceal them. That's when a Sasquatch will have full reign in places like these. Therefore it is likely this Sasquatch (and likely its family) will move into this area seasonally, emerging from pockets of woods (especially cedar bogs) where they'll prefer to spend Winters.Cawker City is in Northern Kansas so it is rolling hill country rather than flat plains.  In this zone the elevation gain from river bottoms to hill tops is roughly 100'.  That provides deep enough gullies for all the deer to endure the deadly freezing winds of Winter that could kill a whole herd out in flat treeless plains.  The ""Winter kill"" is often what keeps deer populations in check in the flatter, featureless corn growing areas without any strips of woods. The terrain features here help boost the relative deer density.If poachers and other predators are not active (relatively) in this area then it has all the ingredients for deer overpopulation, boosted mainly by human agriculture.  Sasquatches benefit from that situation. Scattered populations of Sasquatches in the Midwest have likely been growing over the past few decades rather than declining.The first image is a sketch of the creature made by the witness and provided to the lead BFRO investigator in Kansas -- Carter Buschardt.[ Matt Moneymaker notes:The sighting was just outside the boundary of Glen Elder State Park on the North side so you can assume this Sasquatch crosses into that state park sometimes. It be most likely when the corn inside is sufficiently high enough to conceal their presence -- from late Spring until harvest time. The corn does not need to be 8 feet high to provide cover for a Sasquatch.  The corn only needs to be 3-4 three feet high to provide cover, because even adult Sasquatches can deftly knuckle-walk through 3-4 foot high brush, grass or corn without being visible laterally. They can move very quickly that way when need be. (Note: A crawling Sasquatch would be still be very visible to a drone in those circumstances.)This is an explanation for why some witnesses said they could hear sasquatches moving around them but not see them in the brush. A witness might first see a Sasquatch standing upright while peaking around a tree, etc. The witness then assumed the Sasquatch would remain upright, and thus more visible (like a human), as if it circled the camp or parked vehicle. In actuality, if there's low bush or low crops a Sasquatch will *prefer* to move on all fours like other predators, creating a much lower profile which can instantly be lowered further if flashlight beams are aimed in its direction. This is one the big advantages to having longer, bigger arms and shorter legs than a human. You're much better equipped for crawling when hunting by hand.",31st,,,,,,11-2
Report,1332,Class A,"Thursday, January 1, 1998.","newspaper article about a sighting by a jogger. Later, a sherif deputy found a track at the scene of the incident. ",1977,Fall,November,Kansas,Montgomery,,,,"Newspaper article : Daily Reporter (Independence, Kansas), November 25, 1977",,,,,,,,25,,,,,,
Report,25860,Class A,"Friday, April 24, 2009.",Early morning driver spots bipedal animal eating corn near Little John Creek near Dunlap,2008,Summer,August,Kansas,Morris,the road is called Dunlap road and the creek is called Big John I am not sure who the corn field belongs to.,Dunlap,Dunlap road,"I was driving home from Council Grove after getting a coffee and some cigarettes, it was just after day break and the fog was kind of splotchy and lifting. I was driving slow just enjoying the morning when I saw something on the side of the road next to a cornfield so I slowed down thinking it was a deer.I still had my head lights on and could see perfectly. But what i saw was not a deer it stood up to its full height which I estimate to be 8ft.and looked right at me. It had a piece of corn in its hand and I mean a hand like a humans hand. It looked like a human being with hair all over him. I stopped my car and just starred at it as it did me, then it took off and jumped the road in two large strides. It made it down the creek bank in a few seconds.I was to afraid to look for footprints as i was by myself. I have told a few people about my sighting, but after I called and reported it to the law enforcement and was laughed at I haven't spoken of it to anyone else. I know bigfoot exist's and have tried for years to prove it as my first experience was when I was a kid. The place I found tracks back then is only a few miles from this sighting. I grew up in the country and on the same creek it ran off to. I don't know if you all are serious and will believe me but I feel better getting this off my chest and telling someone I hope will not laugh at me. I still find it amazing that it was eating corn like that. I would love to get involved with a group to help prove they exist I am a total believer now. I still can't get over how human it looked. The fur or hair was long in some spots but shorter around the face and eyes. I have drawn it out on paper many times.I thank you for having this site to let me tell my story.",The creature was eating corn.,1,No,Early morning right at sunrise with spotty foggy conditions.,Mature corn field on one side and a creek on the other.,Follow-up investigation report by BFRO Investigator Harold Benny,"I talked to the witness by phone and found her to be very enthusiastic and credible. She had taken her daughter into town to attend a field trip, and was on the road earlier than usual. She first saw the animal at about fifty yards, but by the time she stopped she was ""close enough it could have touched the car"".   She described it as being very broad and looking like a no-neck football player wearing shoulder pads. The skin was black covered with  dark brown to black hair, about two inches long, and neat though full of weeds. It had a human-like face with a heavy brow, dark eyes and narrow lips.  The creature's noticeably large hand grasping an ear of corn and the direct eye contact were the two most impressive recollections of this sighting. Although no tracks were found she has seen unidentified prints and heard howls and apparent woodknocks in this area in the past.  Her experience as a kid involved possible tracks, she did not get a good look at what made them. I asked the witness to send us one of her drawings, if she does, I will update this report.The drawing has not been received as of 04/20/10.",08/10/09,,,,,,
Report,27779,Class B,"Wednesday, May 26, 2010.",Possible track found and strange occurences on the Neosho River,2008,Summer,July,Kansas,Neosho,The cabins next to the neosho river which we use for fishing approximately 7-9 months of the year.  Specific directions omitted upon the submitters' request.,"st. paul, kansas",hwy 160,"in the summer of 2008 i was on a fishing trip to the neosho river. my parents have own'd a cabin there for about 25 years and i enjoy going with them to set limb lines for catfish and rod and reel fishing the shallow rapids. being in my 30's surrounded by my older parents and their friends (some of which have purchased their own cabins on the same grounds over the years when one comes up for sale) i am often asked to pitch in on the chores a little more than is normal because of everyones older age. grass mowing, weed eating, carrying supplies and water up flights of stares, cabin repair, etc., that i often will grab a couple poles, fill a bucket with bait and supplies, and dissapear up river on foot for an entire day to get away from my honey-do list.  on this day i was walking along the stoney river's edge, when i saw the track. i commonly find the usual tracks for animals in our area and am familiar with raccoon, opossum, beaver, badger, armadillo, turkey, deer, occassionally a cow and very rarely other people.  and this track was none of the above. it look'd very very similar to the plaster tracks you see portray'd on television shows about this occurance. i wear a size 12 and the length of the track dwarf'd my own. and was very wide. i had seen my first bear track at that river for the first time a couple months earlier that summer. a small track of a sub adult bear i guess, we do not have bears in this area. but 1 is seen every couple years. i live within 30 minutes of arkansas, oklahom, and missouri. this area is known locally as the 4-state area. and their are bears in arkansas and rarely one will wander this far north. we didnt even have armadillos til a decade ago. and now they're everywhere. wild pigs are now starting to move out of arkansas and into our area. but i have not seen one yet. but i know 1 person that has. anyway, the bear track i had the older people look at a couple months pryor and they concurred that, thats what they were. but because of the distance i was up river from the cabins when i saw the bigfoot track, the distance was too far for the older people to make so i didnt mention it. they are kind of redneck anyway, they probably would have drank a case of beer, grabbed a deer rifle and wanted to go driving around lookin for it as a joke. anyway my story continues, i fish'd all day and headed back down river mid afternoon. that evening after dinner, relaxing from the day of sun, and visiting with family and friends (keeping my thoughts about the track to myself) at approximately 9 pm i gear'd up and went down to the wingwall of the dam right by the cabins and settled in for some night fishing. thats when the flathead really become active. at approximately midnight, as i was sitting there in the dark, i heard a sound starting to cross the shallow summertime river. SPLASH!,..SPLASH!...SPLASH!...SPLASH! i heard this sound approximately 50 times and it was coming across approximately 100 feet from me. the first splash made me curious. fish sometimes slap their tails on top of the water or make a splash while feeding in the shallow rivers edge. i was excited and happy to hear that sound. i love the sounds of the woods at night. by the 4th or 5th splash i realized it was not a fish because they wouldnt splash that many times in a row. by the 10th or so splash i realized something was entering the river andi was curious. deer??  they have to get to the other side just like i do. you gota cross the river somewhere shallow and rapids free. by the 20th splash every hair on my body stood straight up, and my body was crawling out of my skin trying to get away. i was tingleing in the feeling of flight!!  you know the fight or flight reaction. i'm 6foot 5 inches tall and comfortable with nature and in my youth was a bouncer and bartender and a security guard for years and am very comfortable with fighting. i have felt great fear a few times such as in automobile accidents and work hazzards and i am familiar with that emotion and controlling it. i have NEVER felt this sensation before or since. it was pure FLIGHT!.  i had helped for a couple months pryor to this incident help my parents friend, richard, fix up the cabin next door to my parents cabin. and as this weekend was the first time he was officially going to use his new cabin, i decided to sleep that night in his extra bedroom instead of sleeping on the couch inside my parents cabin. when i heard those splashes i stood straight up, left my poles and gear and drink and cigarettes and everything and walked as briskly as i could straight to richards cabin, up the steps, in the door, straight to my room, in the bed and under the covers. and i forced myself to go to sleep immediately to just GET AWAY. at 5a.m. i met my mother at her truck because we both worked at a local cafe,her waitressing, i a dishwasher, and it was a 25 mile trip to pittsburg kansas where we live and work. we left for home before sunup so we could shower before work with plans to return to the cabins in the afternoon after work. we left everyone asleep as we drove for town. on the trip, my mother told me of something that happened to her while she was sitting on the cabins deck late the night before. she told me she was sitting there, stareing down at the glow of the bonfire that i had built earlier in the day, enjoying herself, when all of a sudden a stink filled the air outside. she said jason, it smelled like death! it didnt smell like no god damn'd skunk, or rotten fish guts, it smelled like death!!  she said it stunk so bad it gagged me and i had to go inside to get away from it!!  she then asked me if that night i had come over from richards cabin to her's lookin for a snack or sumthin?? i said no, why? she said she heard something on the stairs coming up to the cabin, and then shortly later she heard something moving around outside down below, and then she felt the cabin rocking like someone was bashing themselves against thy pylons! she said it rock'd so hard it knock'd the vcr off of the television and the vcr tape rack that hold all of their vcr movies fell over and tapes scattered everywhere. her story freaked me out and i told her about the track i found the day before and we decided that it was a bigfoot and agreed to just keep the story to ourselves.",oklahoma was basically ablaze in wildfires that year and i wonder if a bear and a bigfoot might hvae follow'd the river north and into our area??,"2. my experience was finding a track while fishing up river on foot. next experience was night time while fishing close to the cabin at night. i heard something crossing the shallow river in the dark.  my mother was sitting on the deck of the cabin enjoying some solitude because guests had left, her husband was sleeping, and i was fishing.",no.,found a single track on the rocky rivers edge at mid-day. sunny.  cabin was shaken at approximately midnight.,"neosho river. willow forrest along edge of river, turning into dense woods, turning into crop fields. corn, soy, milo, alfalfa, wheat.",Follow-up investigation report by BFRO Investigator Larry Newman,"I contacted this witness by phone and spoke with him at length. Witness seemed very credible.The following information can be added.When he found the footprint, it at first appeared to be a round footprint. Upon closer examination the outline of the heel could be seen. The toe impressions and heel gave the track the definite appearance of a human track except much larger. In the description of the splashing sound he described it to me as an initial loud splash and then the rhythmic sound of the continued footsteps as it came across the river. Once it came across the river the witness was immediately overcome with the fight or flight feeling. He told me that the next morning when he met his mother, she told him about her experience during the night before he ever mentioned his to her. He said the cabin she was in is built on long poles sunk into the ground. He also told me of another experience his mom and dad had in the area. As they were driving down the road a year or two before, they had seen an animal running through the field on four legs. It was close enough they could see it was not a deer, bear, or mountain lion and its front legs were much longer than its back legs. I am trying to get a meeting arranged with the family to learn more. I lived for many years about 15 miles from the sight of this incident and know the area. It is heavily populated with deer, turkey and other game. ",27,,,,,,
